poison_probability,collaboration_rate,avg_reward_agent_0,avg_reward_agent_1,avg_reward_agent_2
0.0,11.333333333333334,65.94499999999995,64.99999999999994,66.64499999999994
0.1,9.866666666666667,52.53666666666666,56.02666666666665,54.94666666666665
0.2,7.466666666666667,43.59833333333336,42.91833333333336,42.46333333333336
0.30000000000000004,6.566666666666666,37.1816666666667,36.7016666666667,33.796666666666695
0.4,4.6866666666666665,25.588333333333335,28.953333333333344,31.108333333333345
0.5,2.84,24.201666666666664,20.62666666666666,21.16166666666666
0.6000000000000001,0.78,17.081666666666646,20.59666666666664,19.241666666666642
0.7000000000000001,0.3933333333333333,14.851666666666658,12.336666666666671,20.801666666666648
0.8,0.18666666666666668,14.326666666666664,14.776666666666666,21.596666666666646
0.9,0.0,14.271666666666661,12.491666666666667,14.95666666666666
1.0,0.0,16.43666666666666,16.55666666666666,17.20666666666666
